# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simple_otat1
# Exported by: Badger
setting:	replacespawns 1
weapon_ttt_smokegrenade	-279.791626 59.863789 128.193024	-1.194 -1.470 -0.858
weapon_ttt_smokegrenade	-280.627502 52.585453 128.154083	-2.455 -1.220 -1.773
weapon_ttt_smokegrenade	-293.962463 57.140671 128.205276	-0.797 -1.485 -0.572
weapon_ttt_smokegrenade	-295.438324 49.501045 128.156387	-2.383 -1.214 -1.716
weapon_ttt_smokegrenade	-309.358704 55.773399 128.176254	-1.737 -1.420 -1.250
weapon_ttt_smokegrenade	-304.346649 -2264.565186 32.148273	-2.649 -1.191 -1.907
weapon_ttt_smokegrenade	-296.188080 -2265.164307 32.171200	-1.902 -1.380 -1.368
weapon_ttt_smokegrenade	-288.340332 -2265.015869 32.193020	-1.194 -1.470 -0.858
weapon_ttt_smokegrenade	-279.843201 -2265.385254 32.179375	-1.636 -1.426 -1.177
weapon_ttt_smokegrenade	-272.216309 -2266.756104 32.196690	-1.075 -1.476 -0.773
weapon_ttt_smokegrenade	-263.455322 -2266.234375 32.153011	-2.494 -1.231 -1.795
weapon_ttt_smokegrenade	-253.084564 -2265.215332 32.197182	-1.059 -1.476 -0.761
weapon_ttt_smokegrenade	1366.052612 -189.998978 384.153107	-1.193 -1.066 -0.940
weapon_ttt_smokegrenade	1356.779053 -188.822266 384.161713	-2.210 -1.303 -1.591
weapon_ttt_smokegrenade	1363.088501 -183.275848 384.167572	-2.020 -1.367 -1.453
weapon_ttt_smokegrenade	1767.323730 -2333.578613 128.197662	-1.043 -1.477 -0.750
weapon_ttt_smokegrenade	1755.248413 -2332.989014 128.179382	-1.636 -1.426 -1.177
weapon_ttt_smokegrenade	1723.447388 -2382.483643 128.167572	-2.020 -1.367 -1.453
weapon_ttt_smokegrenade	1722.573730 -2372.817383 128.164703	-2.113 -1.347 -1.520
weapon_ttt_smokegrenade	279.155914 -1157.891235 -77.827065	-1.845 -1.408 -1.328
weapon_ttt_smokegrenade	293.939270 -1159.474365 -77.848145	-2.532 -1.217 -1.823
weapon_ttt_smokegrenade	305.653564 -1159.364868 -77.818405	-1.564 -1.441 -1.125
weapon_ttt_smokegrenade	318.107880 -1159.980225 -77.830589	-1.960 -1.379 -1.410
weapon_ttt_smokegrenade	332.543060 -1160.190430 -77.828796	-1.902 -1.380 -1.368
weapon_ttt_smokegrenade	348.643951 -1161.584595 -77.849327	-2.570 -1.160 -1.850
weapon_ttt_smokegrenade	363.396057 -1162.624268 -77.838295	-2.210 -1.303 -1.591
weapon_ttt_smokegrenade	367.860382 -1180.637695 -77.849327	-2.570 -1.160 -1.850
weapon_ttt_smokegrenade	366.394470 -1193.893555 -77.840370	-2.278 -1.303 -1.640
weapon_ttt_smokegrenade	364.733582 -1211.145630 -77.842514	-2.348 -1.273 -1.690
weapon_ttt_smokegrenade	367.665100 -1222.614990 -77.822159	-1.686 -1.426 -1.213
weapon_ttt_smokegrenade	368.367188 -1238.460083 -77.832436	-2.023 -1.367 -1.451
weapon_ttt_smokegrenade	367.461029 -1256.222778 -77.824554	-1.764 -1.406 -1.269
weapon_ttt_smokegrenade	365.929871 -1271.362671 -77.826218	-1.818 -1.408 -1.308
weapon_ttt_smokegrenade	345.816650 -1270.995239 -77.854195	-2.731 -1.139 -1.967
weapon_ttt_smokegrenade	325.973511 -1269.760498 -77.819130	-1.588 -1.441 -1.142
weapon_ttt_smokegrenade	309.068756 -1271.766846 -77.793648	-0.762 -1.486 -0.547
weapon_ttt_smokegrenade	291.166351 -1269.425415 -77.852951	-2.690 -1.192 -1.937
weapon_ttt_smokegrenade	273.502228 -1269.478271 -77.803307	-1.075 -1.476 -0.773
weapon_ttt_smokegrenade	276.412415 -1268.989014 -127.838295	-2.210 -1.303 -1.591
weapon_ttt_smokegrenade	291.381439 -1269.900879 -127.827065	-1.845 -1.408 -1.328
weapon_ttt_smokegrenade	303.834045 -1270.177002 -127.827927	-1.873 -1.400 -1.348
weapon_ttt_smokegrenade	318.051178 -1269.129272 -127.845840	-2.456 -1.220 -1.768
weapon_ttt_smokegrenade	339.325867 -1269.493042 -127.822952	-1.712 -1.425 -1.231
weapon_ttt_smokegrenade	356.758026 -1268.759155 -127.852951	-2.690 -1.192 -1.937
weapon_ttt_smokegrenade	363.433136 -1260.052002 -127.835304	-2.116 -1.347 -1.518
weapon_ttt_smokegrenade	365.251190 -1240.062378 -127.841438	-2.313 -1.299 -1.665
weapon_ttt_smokegrenade	363.104126 -1225.405640 -127.840370	-2.278 -1.303 -1.640
weapon_ttt_smokegrenade	365.495453 -1209.716553 -127.805893	-1.158 -1.472 -0.833
